DISEASES_spacy,DRUGS_spacy,DISEASES_BERT,DRUGS_BERT
pleiocytosis,,,
bacterial meningitis,,,
seizures,,,
meningitis seizure,phenytoin,,
seizures,phenytoin,,
seizures,,,
seizure,,,
infection,,,
fever,,,
seizure,phenytoin,,
seizure,sulfa,,
allergic reaction,,,
respiratory failure,,,
rash hypotension,,,
swelling,,,
throat,,,
acute allergic reaction,,,
cellulitis,sulfa,,
anaphylactic reaction,epinephrine histamine,,
respiratory failure,steroids,,
anaphylactic shock,,,
respiratory failure,,,
pulmonary edema,oxygen,,
verbal communication skills,,,
convulsive,,,
status epilepticus,,,
encephalopathy,,,
toxic metabolic delirium,,,
infection,,,
dvt,,,
ventricular tachycardia,heparin,,
nsvt,warfarin,,
heart disease,lmwh,,
,coumadin,,
illness,phenytoin,,
,atenolol,,
,neurontin,,
,qhs ativan,,
,dilantin,,
,levothyroxine,,
,warfarin,,
,buspirone,,
,ranitidine,,
,sertraline,,
,clonidine,,
seizure disorder,34590,,
dvt acute kidney injury,,,
hypothyroidism,,,
copd,gabapentin,,
epileptic,mirtazipine,,
slurring,,,
hunched,,,
trauma,,,
tenderness,,,
fractures,flagyl,,
subgaleal hematoma,,,
ligamentous injury,propofol,,
,propofol,,
ideation,,,
depressive,,,
,glucose,,
,creat na,,
,calcium,,
,lactate,,
interstitial opacities the cardiac,,,
pleural effusions,,,
hematoma,,,
intracranial hemorrhage,,,
fracture,,,
degenerative disc disease,,,
fractures,tte,,
fracture,,,
fracture,,,
atelectasis,,,
pneumonia,,,
trauma pulmonary hemorrhage,,,
left ventricular systolic function,,,
aortic valve stenosis,,,
aortic regurgitation,,,
mitral regurgitation,,,
valvular abnormality,,,
stenosis,,,
stenosis,,,
stenosis,,,
thrombophlebitis,,,
venous thrombosis,,,
copd,,,
subgaleal hematoma,,,
respiratory failure c b aspiration,,,
respiratory failure,,,
hypercarbic respiratory failure w primary respiratory acidosis,,,
copd,ceftriaxone,,
respiratory failure,flagyl,,
lung disease,,,
leukocytosis,,,
pneumonia,,,
,vancomycin,,
,flagyl,,
,vancomycin,,
,cefepime,,
trauma,vancomycin,,
fractures,flagyl,,
fracture,,,
fracture,,,
atrial fibrillation,diltiazem,,
atrial fibrillation,,,
depr,,,
hyperkalemia,heparin,,
hyperkalemic,,,
acute kidney injury,,,
cardiac dysfunction,,,
death,scopolamine,,
trauma,fentanyl,,
,amlodipine,,
,lasix,,
,metoprolol,,
,lamotrigine,,
,ventolin inhaler,,
hypoxia respiratory failure chronic obstructive pulmonary disease,,,
htn,lactate,,
weight loss cough,,,
dvt,heparin,,
,ceftriaxone,,
,nitro,,
,heparin,,
,vancomycin,,
abscess,lactate,,
ischemia,lactate,,
multiple abscess,vanco,,
embolic infectious,flagyl,,
usualy,lactate,,
,dopamine,,
anteroseptal myocardial infarction,,,
opacification,,,
abscess,tte,,
hiatal hernia,,,
fractures,,,
thrombus,,,
atrial septal defect,,,
thrombi,,,
ventricular septal defect,,,
abnormal diastolic septal motion position,,,
right ventricular volume overload the ascending aorta,,,
aortic stenosis,,,
aortic regurgitation,,,
mitral valve prolapse,,,
tral regurgitation,,,
tricuspid regurgitation,,,
pulmonary artery systolic hypertension,,,
pulmonic regurgitation,,,
pericardial effusion,,,
tamponade,,,
empyema,,,
infection,,,
bronchopleural fistula,,,
cysts,,,
gallbladder wall edema,,,
congestive hepatopathy,,,
pleural effusions,,,
cardiomegaly,,,
empyema,,,
infection,,,
bronchopleural fistula,,,
cysts,,,
gallbladder wall edema,,,
congestive hepatopathy,,,
pleural effusions,,,
cardiomegaly,,,
pleural effusions pulmonary vascular congestion,,,
pulmonary edema cardiomegaly,,,
lower lobe atelectasis,tocommunicate,,
pleural effusion trace pericardial effusion,,,
anasarca,,,
chronic pulmonary hypertension,,,
opacity,,,
pleural effusion,,,
pulmonary hypertension,,,
polyp neoplasm,,,
pneumonia,,,
atelectasis,,,
nephrocalcinosis,,,
atrial septal defect,,,
ventricular hypertrophy,,,
ventricular septal defect,,,
abnormal septal motion position consistent with right ventricular pressure volume overload the diameters of aorta,,,
aortic stenosis,,,
valve trace aortic regurgitation,,,
mitral regurgitation,,,
tricuspid regurgitation,,,
ary artery systolic,,,
hypertension,,,
pericardial effusion,,,
effusion,,,
blood inflammation,,,
pulmonary hypertension,,,
esophageal cancer lung empyema,,,
tibial disease,,,
tibial occlusive disease,,,
tibial disease,,,
effusion,,,
left basilar atelectasis,,,
right effusion,,,
pneumothorax,,,
esophageal mass,,,
tracheo esophageal,,,
cardiomegaly massive right atrial enlargment,,,
calcification,,,
adenopathy,,,
fractures,,,
edema,,,
hemorrhage,,,
pleural effusion,,,
right effusion,,,
atrial enlargement,,,
pneumothorax,,,
esophageal neoplasm,,,
effusion,,,
atelectasis,,,
pleural effusion,,,
pleural effusion,,,
pleural effusion,,,
right basilar atelectasis,,,
pleural effusion,,,
pleural effusion,,,
bibasilar atelectasis,,,
,cocci,,
,cocci,,
blood neuts lymphs monos eos baso am blood neuts lymphs monos eos baso am blood neuts lymphs monos eos baso am blood pt ptt inr pt am blood pt ptt inr pt am blood pt ptt inr pt am blood pt ptt inr pt pm blood pt p,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na k c,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
blood lacta,cium,,
,calcium,,
,calcium,,
,calcium,,
,calcium,,
,uricacd pm blood hapto,,
,vanco,,
,vanco,,
,vanco,,
,vanco,,
,vanco,,
,vanco,,
,vanco,,
,vanco,,
,lactate,,
,glucose lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
shortness and breath cough,lactate,,
lung and renal abscess,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
septic shock,,,
atrial fibrillation,,,
esophageal mass,,,
esophageal cancer,,,
esophageal compression,,,
dysphagia,,,
septic shock,lactate,,
septic shock,,,
pneumonia,,,
empyema,,,
esophageal mass,,,
polymicrobial infection,vancomycin,,
strep,flagyl,,
dvt,flagyl,,
esophageal mass likely esophageal cancer,heparin,,
bronchial and esophageal obstruction,,,
hemorrhage,,,
polymicrobial septic shock,,,
pleural effusions,,,
atelectatsis,,,
obstruction of the esophagus,,,
atrial fibrillation,betablockers,,
infection sepsis,amiodarone,,
esophageal mass,,,
hypotension,,,
atrial fibrillation,,,
low blood pressures,,,
acute renal failure creatinine,amiodarone,,
septic shock,creatinine,,
anemia,creatinine,,
septic shock,creatinine,,
,lactate,,
,amiodarone,,
esophageal neoplasm septic shock,,,
atrial fibrillation,,,
venous thrombosis,,,
necrosis,,,
metatsarsals occlusive,,,
pleural effusions pulmonary empyema,,,
abdominal pain,coumadin,,
nausea and vomiting,,,
abdominal pain,,,
nausea or vomiting,,,
cough,azithromycin,,
fever,levofloxacin,,
aches,tylenol,,
abdominal pain,,,
nausea,,,
nonbloody,lactate,,
diarrhea,vanco flagyl,,
watery nonbloody,decadron,,
hypotensive,calcium gluconate,,
sepsis,,,
infection,,,
adrenal insufficiency,,,
hyperkalemia,,,
shock,tylenol toxicity,,
hypotension sepsis,tylenol,,
cough,,,
chest pain shortness of breath,,,
chills abdominal pain,,,
diarrhea,,,
dysuria hematuria,,,
lightheadedness,glucose urea,,
myalgias arthralgias,creat sodium potassium chloride,,
,calcium phosphate magnesium,,
,cortisol,,
,lactate,,
pulmonary congestion,,,
cardiomegaly,,,
cardiomegaly,,,
hepatomegaly,,,
abnormal liver perfusion,,,
congestion nutmeg liver,,,
hepatic abscess,,,
hematoma cholelithiasis,,,
liver dysfunction,,,
cholecystitis,,,
hydronephrosis,bilirubin,,
opacity,,,
opacity,,,
infection,,,
atrial fibrillation,,,
left bundle branch block anterior myocardial infarct,,,
left ventricular hypokinesis overall left ventricular systolic function,,,
depressed left ventricular dysnchrony,,,
dilated right ventricular systolic function,,,
depressed,,,
aortic regurgitation,,,
mitral regurgitation,,,
tricuspid regurgitation,,,
pulmonary artery systolic hypertension,,,
pericardial effusion,,,
pulmonary venous hypertension cardiomegaly,,,
,urea nitrogen,,
,creatinine,,
,sodium,,
,potassium,,
,bicarbonate,,
,bilirubin alanine,,
,asparate,,
,lactate,,
,bilirubin,,
,calcium,,
,phosphate,,
,magnesium,,
,urea nitrogen,,
,creatinine,,
,sodium,,
,potassium,,
,bicarbonate,,
,bilirubin alanine,,
,asparate,,
,lactate,,
,bilirubin,,
,calcium,,
,phosphate,,
,magnesium,,
hypotension,lactate,,
sepsis,,,
sepsis,,,
leukocytosis,vancomycin,,
pneumonia,flagyl,,
,cyclosporine,,
,prednisone,,
,qod,,
cough,lactate hypovolemia,,
hypotension,cortisol,,
sepsis,steroids,,
adrenal insufficiency,prednisone,,
sepsis,tylenol toxicity,,
coagulopathy,,,
shock,,,
congestion,,,
inflammation,,,
liver biop,,,
atrial fibrillation,coumadin,,
liver failure,digoxin,,
renal and liver failure,amiodarone,,
,amiodarone,,
,digoxin,,
,captopril,,
,captopril,,
,coumadin,,
chronic renal failure,creatinine,,
acute renal failure,azithromycin,,
acute tubular necrosis,creatinine,,
thrombocytopenia,prednisone,,
,qod,,
,cyclosporine,,
thrombocytopenia,heparin,,
right basilic vein thrombosis,heparin,,
thrombosis,argatroban,,
,coumadin,,
iven,captopril,,
liver disease congestive heart failure,,,
ischemic nonischemic dilated cardiomyopathy,,,
sepsis,aspirin,,
artery disease,,,
myocardial infarction,,,
complaints of chest pain,,,
hemolysis,captopril,,
hyperactive,heparin,,
sepsis,,,
sepsis shock,,,
topenia,,,
coronary artery disease,,,
myocardial infarction,,,
congestive heart failure,,,
cerebrovascular accident,,,
atrial fibrillation hypertension,,,
squamous cell skin cancers,,,
gout erectile dysfunction,,,
pleurisy hepatitis c genotype discharge 0,,,
goiter,warfarin,,
polycythemia,atenolol,,
complaints of shortness of breath,,,
bradycardia,,,
heart block,,,
shortness of breath,,,
anemia,,,
ulcers,,,
chronic renal failure,atenolol,,
,oxygen,,
heart block,isoproterenol,,
stroke,,,
venous thrombosis,,,
pulmonary embolism bleeding,,,
myalgias,,,
hemoptysis,,,
chills,,,
rigors,,,
exertional buttock,,,
pain,,,
chest pain dyspnea,,,
exertion paroxysmal nocturnal,,,
dyspnea orthopnea ankle edema palpitations,,,
syncope,,,
presyncope,,,
bradycardia,glucose,,
,creat na,,
,calcium,,
,iron,,
atrial tachycardia,,,
bundle branch block,,,
pulmonary edema,,,
abnormal cardiac silhouette,,,
cardiomyopathy,,,
pericardial effusion,,,
dilated a secundum type atrial septal defect,,,
ventricular hypertrophy,,,
depressed,,,
depressed,,,
depressed,,,
tricuspid regurgitation,,,
abnormal septal motion position consistent with right ventricular pressure volume overload the aortic valve leaflets are mildly thickened,,,
aortic valve stenosis trace aortic,,,
mitral regurgitation,,,
tricuspid regurgitation,,,
pulmonary artery systolic hypertension,,,
pericardial effusion,,,
tamponade,,,
tamponade,,,
bradycardia,dopamine,,
heart block atenolol,,,
acute renal failure,,,
bradycardia,,,
heart failure,heparin,,
bradycardia,coumadin,,
volume overload,aspirin,,
,qd,,
chronic renal failure,lasix,,
bradycardia,dm,,
vascular disease creatinine,lasix,,
,warfarin,,
,lasix,,
,atenolol,,
bradycardia,,,
congestive heart failure diastolic gastroesphageal reflux disease diabetes mellitus diet,,,
htn,,,
diverticulosis,,,
cough,,,
effusion,lasix,,
pulmonary embolus,creatinine,,
enlargement of right cardiac,heparin,,
dvt,vanco,,
thrombus,,,
malignancy,creatinine,,
dyspnea,,,
chest pain,,,
cough,,,
fever,,,
chills,,,
swelling,glucose,,
dysuria,creat na,,
diarrhea,lactate,,
orthopnea,,,
cough,,,
pains,,,
numbness,,,
sinus tenderness,,,
clostridium difficile,,,
clostridium difficile,,,
bibasilar atelectasis cardiomegaly,,,
pulmonary embolus,,,
emphysema,,,
lower lobe bronchiectasis,,,
opacity,,,
atelectasis,,,
infectious disease,,,
atherosclerotic,tte,,
stenosis,,,
hypokinesis,,,
left ventricular hypertrophy,,,
venous thrombosis,,,
thrombus,,,
enlargement of the cardiac,,,
opacification,,,
atelectasis,,,
effusion,,,
vascular congestion,,,
pleural effusion,,,
pleural effusion,,,
opacification,,,
atelectasis,,,
effusion,,,
pneumothorax,,,
ventricular hypertrophy,,,
left ventricular systolic function,,,
aortic stenosis,,,
mitral valve prolapse,,,
pulmonary artery systolic,dly,,
hypertension,,,
pericardial effusion,,,
pericolonic edema,,,
pancolitis,,,
stridium difficile infection,,,
pneumonia,,,
ascites,,,
abdominal aortic aneurysm,,,
hypertension dyslipidemia,,,
diverticular bleed,,,
hypoxia,heparin,,
difficile colitis,oxygen,,
shock,,,
pulmonary embolus,,,
venous thromboses,,,
hypoxia,heparin,,
pulmonary embolus,warfarin,,
,heparin,,
desaturation,albuterol,,
hypoxia,ipratropium,,
emphysema,,,
atrial fibrillation,albuterol,,
tachypneic,oxygen,,
,lasix,,
pulmonary vascular congestion,creatinine,,
pneumonia,oxygen,,
atelectasis,lasix,,
pleural effusion,oxygen,,
leukocytosis,cefepime,,
fever,vancomycin,,
clostridium difficile colitis,flagyl,,
diarrhea,,,
leukocytosis,,,
clostridium difficile,,,
infection,flagyl,,
infection,vancomycin,,
septic shock,,,
colitis,neosynephrine,,
acute kidney injury,,,
chronic kidney disease,,,
prerenal failure,,,
acute tubular necrosis,,,
diarrhea,creatinine,,
clostridium difficile infection,nephrotoxins,,
hypoxia,creatinine,,
urinary retention,,,
constipation,trazodone,,
prostate disease,trazodone,,
enlargement of the prostate,,,
urinary retention,,,
atrial fibrillation,,,
atrial fibrillation,metoprolol,,
dehydration,,,
embolism,,,
hypertension,vitamin b,,
acute kidney injury,folate,,
,vitamin b,,
,cyanocobalamin,,
,enalapril,,
,nadolol,,
,amlodipine,,
atrial fibrillation,metoprolol,,
abdominal aortic aneurysm,statin,,
hypotensive dyslipidemia,,,
glaucoma,,,
glaucoma,nadolol,,
submassive pulmonary embolism,enalapril,,
difficile colitis,amlodipine,,
,lipitor,,
,timolol,,
,pilocarpine,,
vaginal bleeding,phenergan,,
nausea vomiting,,,
abdominal pain,,,
respiratory distress,solumedrol,,
hypertensive,epinephrine benadryl,,
pulmonary edema,,,
pleural effusions,,,
pulmonary edema,,,
tte,,,
ischemia,,,
pulm edema,,,
vascular occlusion,,,
pneumonia,,,
pleural effusions,,,
pancreatitis,,,
right renal calculus,,,
ventricular hypokinesis,,,
depressed,glucose urea,,
mitral regurgitation,creat sodium potassium chloride,,
pulmonary artery systolic hypertension,,,
necrotic,,,
respiratory distress,phosphate magnesium,,
pancreatitis,,,
pulmonary edema,,,
cardiomyopathy fever,oxygen,,
fever,oxygen,,
pancreatitis,,,
pneumonia,clindamycin,,
myometritis,doxcycline,,
pancreatitis,flagyl,,
bowel movements,,,
abdominal pain,,,
nausea abdominal pain,,,
pancreatitis anemia,,,
anemia,,,
blood loss,,,
thrombocytopenia,,,
hellp,lovenox,,
hemolysis,fibrinogen,,
hypertension,,,
hellp syndrome,,,
hyperthyroidism,creatine,,
tachycardia,creatinine,,
infection,,,
sinus tachycardia,,,
cardiomyopathy,,,
thyroiditis,,,
vaginal bleeding,glucose,,
necrotic,,,
anisocoria,,,
ptosis of the right eyelid,,,
hematoma,,,
hyperthyroidism pancreatitis heart failure,vit tylenol amoxicillin,,
,cortisol,,
,calcium phosphate,,
hazy,glucose urea,,
,creat sodium potassium chloride,,
,lactate,,
,nitrite,,
,glucose,,
,bilirubin,,
infection,cspine,,
hemorrhage,,,
hydrocephalus,,,
opacification,,,
intracranial enhancement mass effe,,,
hydrocephalus,,,
abscess,,,
hematoma,,,
pleural effusions,,,
bibasilar atelectasis,,,
anasarca,,,
pulmonary edema,,,
pleural effusions,,,
anasarca,,,
lymphadenopathy,,,
hematoma,,,
anasarca,,,
lymphadenopathy,,,
atrial septal defect,,,
thrombi,,,
ventricular septal defect right ventricular chamber size and free wall motion,,,
aortic regurgitation,,,
mitral regurgitation,,,
valve prolapse,,,
pericardial effusion,,,
pericardial effusion,,,
thrombus,,,
atrial septal defect,,,
chiari,,,
atherosclerotic,,,
aortic regurgitation,,,
mitral regurgitation,,,
aortic mitral tricuspid,,,
pericardial effusion,,,
aeruginosa,oxacillin,,
aeruginosa,,,
septic shock,xigris,,
meningitidis,steroids hydrocortisone,,
infection,ortisone,,
meningococcemia,cephalosporin,,
fevers,ceftriaxone,,
leukocytosis,cefepime vancomycin,,
pneumonia,flagyl,,
fevers,vancomycin cefepime,,
infectious disease,flagyl,,
acral necrosis,,,
gangrene,,,
infection,,,
necrosis,,,
necrosis,,,
amputation,bacitracin,,
lower extremity bullae,methicillin,,
purpura,,,
fevers,,,
epidermidis,vancomycin,,
acute renal failure,metronidazole,,
,ceftazidime,,
renal failure,lasix,,
acute tubular necrosis,diuril,,
sepsis,creatine,,
anasarca,,,
respiratory failure,vancomycin cefepime,,
respiratory distress fatigue,flagyl,,
metabolic acidosis,,,
pneumonia,,,
pulmonary edema,,,
edema,,,
glossal edema,,,
depressed,,,
depressed,,,
ventricular tachycardia,,,
necrosis,,,
troponinemia,,,
renal failure,,,
systolic heart failure,,,
nstemi,,,
sepsis,amlodipine hydralizine,,
hypertensive,metoprolol,,
anxiety,,,
fevers,,,
neurologic deficits,xigris,,
mri head cspine,,,
hematoma bleeds,,,
infection,,,
retinal hemorrhages,,,
sepsis,creatinine,,
renal failure,,,
,vancomycin,,
,cefepime,,
,ciprofloxacin,,
,zole,,
,bacitracin,,
,vancomycin,,
pain,morphine,,
pain,morphine,,
,morphine,,
,albuterol inhaler,,
imary meningococcemia respiratory failure disseminated,,,
intravascular coagulation,,,
clostridium difficile infection,,,
bacteremia,,,
infections,,,
73007,,,
copd,levophed,,
hypotensive,etomidate,,
pain,,,
allergy,penicillin,,
,solumedrol albuterol,,
,bicarb,,
,levaquin flagyl vanco,,
,lasix,,
totbili pm blood calcium,glucose,,
,creat na,,
,uricacd,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,glucose,,
,creat na,,
,calcium,,
opacification,,,
pleural effusion,,,
volume loss,,,
atelectasis,,,
pleural effusion,,,
volume loss,,,
pleural effusion,,,
intracranial hemorrhage mass,,,
infarct,,,
fractures,,,
opacification,,,
bronchiectasis,,,
bronchial occlusion,,,
atelectasis,,,
pneumonia,,,
pleural or pericardial abnormality,,,
airway obstruction,,,
emphysema,,,
atelectasis,,,
bronchial obstruction heart,,,
atherosclerotic calcification,,,
bochdalek hernia,,,
bronchiectasis,,,
bronchial obstruction,,,
pneumonia,,,
mucoid impaction,,,
emphysema,,,
fractures,,,
stenosis,,,
fracture,,,
volume loss,,,
pericardial effusion,,,
pleural effusion,,,
adenopathy,,,
prostate,,,
pneumonia,,,
atelectasis,,,
opacity,,,
atelectasis,,,
right effusion,,,
pulmonary edema,,,
pneumothorax,,,
trauma,,,
aureus,methicillin,,
infection,,,
underquantification of hcv genotyp,cocci,,
,hepatits b,,
,hepatitis b,,
copd dm htn,,,
hypercarbic respiratory failure,,,
hyperkalemia,,,
hypercarbic respiratory failure,,,
copd,,,
wheezing,,,
pneumonia,,,
hypoventilation,vancomycin meropenem levofloxacin,,
pneumonia,vancomycin meropenem,,
pneumonia,,,
pneumonia,acin,,
,levofloxacin,,
,clindamycin,,
,levofloxacin,,
,clindamycin,,
shock,steroids,,
hypovolemia,,,
sepsis,,,
hypovolemia,,,
pericardial effusion,,,
copd,,,
pneumonia,steroids,,
hyperkalemia,,,
kyperkalemia,,,
acute renal failure,,,
hypovolemia,,,
acute renal failure,creatinine,,
rhabdomyolysis,creatinine,,
pancytopenia,creatinine,,
,pcp,,
marrow suppression,heparin,,
sepsis,,,
hypertension,amlodipine,,
hypertension,lisinopril,,
shock,amlodipine,,
,creatinine,,
,lisinopril,,
,hydrochlorothiazide,,
hypertensive,albuterol,,
,ipratropium,,
,nicotine,,
,tiotropium inhaler,,
diabetes mellitus,nicotine,,
,metformin,,
,glucose,,
muscle spasm,metformin,,
low back pain oxycodone,valium,,
substance abuse,,,
hepatitis c,alcohol,,
,hepatitis b,,
insomnia,hepatitis b,,
,seroquel,,
,seroquel,,
,hepatitis b viral load,,
copd,lisin,,
pneumonia,amlodipine metformin,,
acute renal failure,valium,,
chronic obstructive pulmonary disease hypertension type diabetes mellitus chronic low back pain pancytopenia,oxycodone,,
,albuterol,,
,seroquel qhs,,
polysubstance abuse,,,
depression,,,
vomit,doxepin,,
toxicity,,,
somnolent,,,
,propofol,,
,cocaine methadone,,
polysubstance abuse major depression,potassium,,
ptsd,valium,,
anxiety,seroquel,,
agitation,,,
chest pains shortness of breath palpatations suicidal or homicidal ide,,,
,glucose,,
,glucose,,
,creat na,,
,calcium,,
,iron,,
,ethanol,,
,acetmnp,,
hemorrhage edema mass mass,lactate,,
infarction,nitrite,,
fracture,glucose,,
airspace opacification pulmonary vasculature,,,
osseous abnormalities,,,
hypotension,ose,,
chest pain,doxepin,,
,methadone,,
,cocaine,,
,methadone,,
,suboxone,,
arrythmias,,,
psychiatric,,,
psychiatric,,,
ideation,,,
ideation,,,
polysubstance abuse depression,valium seroquel,,
anxiety agitation,ibuprofen,,
depression,iron,,
psychiatric,,,
anemia,,,
anemia,iron,,
thalassemia microcytosis,iron,,
anemia,iron,,
fever,iron,,
fever,,,
infection,namepat,,
chills,,,
overdose,,,
glaucoma,,,
fever,,,
aches,,,
confusion,,,
complaints of generalized malaise,,,
inability to sleep,,,
dizziness,,,
aches,,,
chills,,,
dry cough,,,
confusion,,,
sore throat runny nose n v diarrhea abdominal pain,,,
hematuria,,,
weight loss,levofloxacin,,
vision neck stiffness,,,
hypotensive,,,
tachycardia,dopamine,,
sepsis,dopamine,,
rashes,dopamine,,
orthopnea,levophed,,
glaucoma,gtts allergies,,
depression,,,
depression,,,
opacity,,,
hernia,,,
fullness,,,
,glucose,,
,creat na,,
,calcium,,
,lactate,,
,ite,,
,cocci,,
,penicillin,,
,oxacillin,,
infection,,,
herpes simplex,,,
herpes simplex,,,
corynebacterium,,,
,potassium hydroxide,,
aortic stenosis,,,
aortic regurgitation,,,
mitral valve prolapse,,,
mitral annular calcification,,,
mitral stenosis,,,
mitral annular calcification mild mitral regurgitation,,,
mitral regurgitation,,,
pericardial effusion,,,
opacification,,,
pulmonary edema,,,
pleural effusions enlarged mediastinal lymph nodes likely reactive,,,
adenoma,,,
paranasal sinus opacification,,,
effusions of the mastoid,erosions,,
otomastoiditis,,,
arachnoid granulation,,,
malignancy,,,
pulmonary consolidations,,,
pneumonia,,,
pleural effusions,,,
inferior vena cava ascites cholelithiasis left adrenal mass,,,
ventricular hypertrophy,,,
ventricular septal defect right ventricular chamber size and free wall motion,,,
aortic stenosis,,,
aortic regurgitation,,,
mitral valve prolapse,,,
mitral annular calcification,,,
valvular mitral stenosis,,,
mitral regurgitation,,,
mitral regurgitation,,,
tricuspid regurgitation,,,
pulmonary artery systolic hypertension,,,
pericardial effusion,,,
glaucoma,,,
fever,,,
aches,,,
confusion,,,
hypotension,,,
septic shock,,,
respiratory failure,,,
pneumonia,,,
herpes lung infection,,,
ction problems,penicillin,,
respiratory failure,vancomycin,,
hypercarbic,flagyl,,
hypoxic respiratory failure,levofloxacin,,
respiratory acidosis,albuterol,,
pneumonia,,,
pneumonia,,,
pneumonia,,,
copd,,,
volume overload,acyclovir,,
herpetic pulmonary infection tracheobronchitis,,,
herpetic lesions,,,
chronic respiratory failure,voriconazole,,
,voriconazole,,
hypotension,norepinephrine,,
leukocytosis,,,
tachycardia,,,
pneumonia,,,
hypotension,,,
shock,,,
bacterial endocarditis,,,
cardiogenic,cortisol,,
decreases in blood pressure,cortisol,,
acute renal failure,creatinine,,
prerenal,,,
abdominal distention,diazepam,,
ileus,fentanyl,,
ascites,,,
infection,,,
anemia,diazepam,,
bleeding,,,
hemolysis,,,
right otitis,,,
otitis,ciprofloxacin dexamethasone,,
perforation,,,
glaucoma,timolol,,
infection,travatan,,
infectious disease,voriconazole,,
glaucoma,gtts,,
pneumonia herpetic pulmonary infection,,,
acute respiratory distress syndrome,,,
glaucoma,,,
nsclc,paclitaxal,,
lymphangitis,,,
pleural effusion,,,
dyspnea,,,
hypoxia,,,
pleural effusion,,,
hypotension,norepinephrine,,
blood loss,steroid,,
serosanguinous,,,
fever,cefepime vancomycin,,
sepsis,gentamycin,,
mets,vancomycin,,
hemothorax,,,
,doxycyline,,
hydropneumothorax,glucose,,
pleural effusion,creat na,,
pneumothorax,glucose,,
,creat na,,
,calcium,,
hydropneumothorax,,,
atelectasis,,,
pleural effusion,,,
effusion,doxycyline,,
dullness,pleuridex,,
whiteout,,,
pneumothorax,,,
pancytopenia,,,
neutropenia,paclitaxol carboplatin,,
sepsis,vancomycin gentamycin cefepime,,
hypotension,heparin,,
fever,,,
thrombocytopenia,,,
hypotension,ranitidine,,
hypotension,protonix,,
,steroids,,
,potassium,,
,sodium,,
acute adrenal insufficiency,,,
hypernatremia,,,
htn,,,
hypotension,,,
mets,heparin,,
thrush,steroid,,
nsclc,clotrimazole lozenges,,
effusion,steriods,,
pain,steroids,,
pain,steroids,,
pain,steroid,,
pleural effusion,pleuridex,,
shortness of breath,,,
thrombus,,,
left ventricular systolic dysfunction,,,
depressed lvef right ventricular chamber size and free wall motion,,,
athero,,,
aortic stenosis,epinephrine,,
aortic regurgitation,,,
mitral valve prolapse,,,
mitral regurgitation,,,
pericardial effusion,,,
stenosis,glucose,,
valve intact thoracic aorta,creat na,,
,glucose,,
,creat na,,
multi vessel disease,,,
mitral regurgitation,,,
anemia,glucophage,,
coronary artery disease s p coronary artery bypass,qid lantus,,
mitral regurgitation s p mitral valve repair,niacin,,
diabetes mellitus hyperlipidemia,,,
chronic obstructive pulmonary disease,,,
ancreatitis,,,
small cell lung cancer,,,
diarrhea,,,
shortness of breath,,,
hypotension,,,
diarrhea,lovenox,,
diarrhea,,,
nausea and vomiting,,,
chest pain,,,
cough abdominal pain,,,
shortness of breath,,,
hypotension,heparin,,
hypotensive,levofloxacin,,
adrenal insufficiency,steroids,,
pain,hydrocortisone,,
dyspnea,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,lactate,,
,calcium,,
thrombus,irinotecan,,
pulmonary infarct,,,
pneumonia,,,
small cell lung cancer s p carboplatin etoposide,,,
diarrhea,,,
hypotension,heparin,,
pulmonary embolism,fondaparinux,,
pulmonary embolism,coumadin allergy,,
malignancy,lovenox,,
,fondaparinux,,
acute kidney injury,oxygen,,
hypotension prerenal,coumadin,,
diarrhea,creatnine,,
constipation,irinotecan,,
diarrhea,,,
aggressive bowel regimen,softeners,,
pain,laxatives,,
pain,oxycontin,,
dermatomyositis paraneoplastic syndrome,irinotecan,,
cancer,carboplatin,,
anemia,etoposide,,
,cellcept,,
bleeding,ondansetron,,
rash diphenoxylate atropine,dexamethasone,,
diarrhea opium,prochlorperazine,,
nausea lora,,,
mouth pain,insomnia docusate sodium,,
insomnia,ranitidine,,
pulmonary embolism diarrhea,lidocaine,,
constipation,oxycodone,,
,oxycontin,,
,oxycodone acetaminophen,,
,nystatin,,
,calcium carbonate,,
,amitriptyline,,
,qhs,,
lung cancer,,,
pain,,,
spondylolisthesis,,,
back pain,,,
leukocytosis,,,
delirium,,,
lower back pain,,,
pain,,,
pain,,,
constipation,,,
cough,,,
fevers,,,
febrile,,,
cerebral atrophy,,,
intracranial hemorrhage,,,
meningitis,,,
infection,,,
viral illness,,,
meningitis,,,
paraneoplastic disorder,,,
venous blood acyclovir,,,
leukocytosis,,,
